step,num_vehicles,tls_id,phase,avg_waiting_time,avg_queue_length
0,0,1407769410,0,0.0,0.0
0,0,1407769424,0,0.0,0.0
0,0,311194425,0,0.0,0.0
0,0,GS_cluster_1150106029_1150106038_1150106046_179162926,0,0.0,0.0
0,0,GS_cluster_11610500593_186913340,0,0.0,0.0
0,0,GS_cluster_151014883_192048063_193875691_312411075,0,0.0,0.0
0,0,GS_cluster_178816046_533885875_946783180_946783246,0,0.0,0.0
0,0,GS_cluster_181310361_255157088_255157309_312307082,0,0.0,0.0
0,0,GS_cluster_1829205187_1830275193_412647220,0,0.0,0.0
0,0,GS_cluster_183575304_191009058,0,0.0,0.0
0,0,GS_cluster_192610447_2701087637_2701087639_312411627,0,0.0,0.0
0,0,GS_cluster_193896937_193901000_2526973953_956503884,0,0.0,0.0
0,0,GS_cluster_223768576_223768772_223769676,0,0.0,0.0
0,0,GS_cluster_2386406068_2386406069_310983598_32902785,0,0.0,0.0
0,0,GS_cluster_239676543_239676949_490541043_490541044,0,0.0,0.0
0,0,GS_cluster_243889728_255157093,0,0.0,0.0
0,0,GS_cluster_253816661_253816670,0,0.0,0.0
0,0,GS_cluster_253830876_253830877,0,0.0,0.0
0,0,GS_cluster_255381543_312412116_315215123_32902786,0,0.0,0.0
0,0,cluster_1402121584_2273191303_3734996876_4213981066,0,0.0,0.0
0,0,cluster_1457897145_1457897151_1457897234_1829205101_#2more,0,0.0,0.0
0,0,cluster_191015674_240636109,0,0.0,0.0
0,0,cluster_194318778_223860463,0,0.0,0.0
0,0,cluster_194370890_194370892_6383385990,0,0.0,0.0
0,0,cluster_236007627_236007629,0,0.0,0.0
0,0,cluster_2387345775_8660110932,0,0.0,0.0
0,0,joinedS_223673500_310986270_5005784727_9277804071,0,0.0,0.0
0,0,joinedS_cluster_192603469_255381549_3903527581_cluster_2385586901_255381611_32904045,0,0.0,0.0
1,1,1407769410,1,0.0,7.039774727208729e-05
1,1,1407769424,1,0.0,7.039774727208729e-05
1,1,311194425,1,0.0,7.039774727208729e-05
1,1,GS_cluster_1150106029_1150106038_1150106046_179162926,1,0.0,7.039774727208729e-05
1,1,GS_cluster_11610500593_186913340,1,0.0,7.039774727208729e-05
1,1,GS_cluster_151014883_192048063_193875691_312411075,1,0.0,7.039774727208729e-05
1,1,GS_cluster_178816046_533885875_946783180_946783246,1,0.0,7.039774727208729e-05
1,1,GS_cluster_181310361_255157088_255157309_312307082,1,0.0,7.039774727208729e-05
1,1,GS_cluster_1829205187_1830275193_412647220,1,0.0,7.039774727208729e-05
1,1,GS_cluster_183575304_191009058,1,0.0,7.039774727208729e-05
1,1,GS_cluster_192610447_2701087637_2701087639_312411627,1,0.0,7.039774727208729e-05
